,,ARC(%),ASD(%),MD(%),MLD,IR*(%),IR**(%)
**Long Only**,,,,,,,
,**S&P 500**,8.05,18.26,56.78,1.82,44.07,6.25
,Linear Regression,**11.56**,**13.22**,**31.19**,**0.64**,**87.42**,**32.4**
