Date,Inversed_Close,Close,Predictions,Position,strat_return,bnh_return,strategy,buy_n_hold
1991-01-02,326.45001220703125,326.45001220703125,329.09487259440357,1,,,1.0,1.0
1991-01-03,321.9100036621094,321.9100036621094,329.7008543209522,1,-0.0139072089911354,-0.0139072089911354,0.9860927910088646,0.9860927910088646
1991-01-04,321.0,321.0,327.6508624801645,1,-0.002826888421474938,-0.002826888421474938,0.9833052167154618,0.9833052167154618
1991-01-07,315.44000244140625,315.44000244140625,321.61764929047786,1,-0.017320864668516345,-0.017320864668516345,0.9662735201288871,0.9662735201288871
1991-01-08,314.8999938964844,314.8999938964844,321.3674442918855,1,-0.0017119215722241066,-0.0017119215722241066,0.9646193356451096,0.9646193356451096
1991-01-09,311.489990234375,311.489990234375,316.7205990522052,1,-0.010828846389975944,-0.010828846389975944,0.954173621034608,0.954173621034608
1991-01-10,314.5299987792969,314.5299987792969,317.10445786017226,0,0.009659570580853972,0.009759570580853971,0.9633905284733808,0.9634859458354843
1991-01-11,315.2300109863281,315.2300109863281,311.7171325107338,1,0.0021255816925191853,0.002225581692519185,0.9633905284733808,0.9656302625175353
1991-01-14,312.489990234375,312.489990234375,315.38553896266967,1,-0.008692131638671774,-0.008692131638671774,0.9550166111804406,0.9572368771614477
1991-01-15,313.7300109863281,313.7300109863281,318.0636825931724,1,0.003968193512448481,0.003968193512448481,0.9588063019012073,0.9610353783272761
1991-01-16,316.1700134277344,316.1700134277344,314.5158390561701,0,0.0076773957095630395,0.00777739570956304,0.9661674372897257,0.968509730755417
1991-01-17,327.9700012207031,327.9700012207031,314.79940472124144,0,0.037321653831241086,0.037321653831241086,0.9661674372897257,1.0046561156588592
1991-01-18,332.2300109863281,332.2300109863281,315.3392985452083,0,0.012989022623316915,0.012989022623316915,0.9661674372897257,1.0177056166738057
1991-01-21,331.05999755859375,331.05999755859375,327.72180668229703,1,-0.0036216969841490585,-0.0035216969841490586,0.9661674372897257,1.014121565872814
1991-01-22,328.30999755859375,328.30999755859375,332.9210032100091,1,-0.008306651423548361,-0.008306651423548361,0.9581418211713769,1.0056976115240055
